name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989
TotalAssets,"493,178,000,000","551,772,000,000","667,270,000,000","549,009,000,000","294,005,000,000","296,482,000,000","243,274,000,000","223,383,000,000","183,705,000,000","154,642,000,000","143,642,000,000","133,637,000,000","108,553,000,000","92,568,000,000","75,431,000,000","51,675,000,000","42,286,000,000","48,992,000,000","47,351,000,000","47,133,000,000","45,866,000,000","39,705,000,000","40,464,000,000","38,154,000,000","34,322,000,000","22,264,400,000","16,481,700,000","13,778,800,000","10,552,000,000","7,917,900,000","6,896,500,000","5,905,200,000","5,025,900,000","4,188,000,000","3,480,300,000"
	CashCashEquivalentsAndFederalFundsSold,"75,173,000,000","83,178,000,000","116,924,000,000","90,747,000,000","49,828,000,000","41,501,000,000","29,356,000,000","33,002,000,000","31,576,000,000","32,144,000,000","31,281,000,000","41,132,000,000","34,713,000,000","4,931,000,000","26,614,000,000","20,127,000,000","15,567,000,000","15,369,000,000","1,905,000,000","2,778,000,000","2,832,000,000","3,114,000,000","4,407,000,000","4,876,000,000","11,438,000,000","11,398,800,000","7,571,400,000","7,869,300,000","5,855,900,000","4,587,100,000","3,956,100,000","3,714,400,000","3,467,100,000","90,400,000","103,400,000"
		CashAndCashEquivalents,"43,337,000,000","40,195,000,000","62,975,000,000","40,348,000,000","29,345,000,000","27,938,000,000","14,217,000,000","10,828,000,000","11,978,000,000","11,363,000,000","7,728,000,000","12,663,000,000","8,679,000,000","4,931,000,000","26,614,000,000","20,127,000,000","6,764,000,000","4,507,000,000","1,905,000,000","2,778,000,000","2,832,000,000","3,114,000,000","4,407,000,000","4,876,000,000","2,612,000,000","1,155,900,000","797,400,000","633,300,000","429,300,000","380,600,000","279,800,000","204,300,000","150,500,000","90,400,000","103,400,000"
			CashEquivalents,,,,,,,,,,,,,,"4,931,000,000","8,241,000,000","5,442,000,000",,,,,,,,,,,,,,,,,,,
			CashAndDueFromBanks,"43,337,000,000","40,195,000,000","62,975,000,000","40,348,000,000","29,345,000,000","27,938,000,000","14,217,000,000","10,828,000,000","11,978,000,000","11,363,000,000","7,728,000,000","12,663,000,000","8,679,000,000","4,931,000,000","18,373,000,000","14,685,000,000","6,764,000,000","4,507,000,000","1,905,000,000","2,778,000,000","2,832,000,000","3,114,000,000","4,407,000,000","4,876,000,000","2,612,000,000","1,155,900,000","797,400,000","633,300,000","429,300,000","380,600,000","279,800,000","204,300,000","150,500,000","90,400,000","103,400,000"
		RestrictedCashAndInvestments,"31,836,000,000","42,983,000,000","53,949,000,000","50,399,000,000","20,483,000,000","13,563,000,000","15,139,000,000","22,174,000,000","19,598,000,000","20,781,000,000","23,553,000,000","28,469,000,000","26,034,000,000",,,"14,685,000,000","8,803,000,000","10,862,000,000",,,,,,,,,,,,,,,,,
		MoneyMarketInvestments,,,,,,,,,,,,,,,,,,,,,,,,"10,998,368,000","8,826,000,000","10,242,900,000","6,774,000,000","7,236,000,000","5,426,600,000","4,206,500,000","3,676,300,000","3,510,100,000","3,316,600,000",,
			FederalFundsSoldAndSecuritiesPurchaseUnderAgreementsToResell,,,,,,,,,,,,,,,,,,,,,,,,"10,998,368,000","8,826,000,000","10,242,900,000","6,774,000,000","7,236,000,000","5,426,600,000","4,206,500,000","3,676,300,000","3,510,100,000","3,316,600,000",,
	SecurityBorrowed,"1,563,000,000","705,000,000","582,000,000","873,000,000","735,000,000","101,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	FederalHomeLoanBankStock,"11,000,000","528,000,000",,,,"32,000,000","405,000,000","81,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
	CustomerAcceptances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"842,400,000","930,800,000"
	SecuritiesAndInvestments,"266,719,000,000","319,416,000,000","393,164,000,000","339,106,000,000","197,479,000,000","211,586,000,000","171,836,000,000","153,260,000,000","116,366,000,000","89,760,000,000","82,512,000,000","65,012,000,000","49,723,000,000","42,092,000,000","29,875,000,000","15,315,000,000","8,201,000,000","6,386,000,000","19,387,000,000","24,354,000,000","25,366,000,000","22,721,000,000","1,700,000,000","1,618,000,000","1,333,000,000","242,100,000","282,600,000","127,900,000","113,500,000",,,,,"3,050,200,000","2,232,600,000"
		AvailableForSaleSecurities,"5,057,000,000","3,034,000,000","3,110,000,000","1,706,000,000","1,351,000,000","999,000,000","915,000,000","692,000,000","713,000,000","588,000,000","576,000,000","695,000,000","650,000,000","24,330,000,000","23,036,000,000","15,072,000,000","8,201,000,000","6,386,000,000","19,387,000,000","24,354,000,000","25,366,000,000","22,721,000,000","1,700,000,000","1,618,000,000","1,333,000,000","242,100,000","282,600,000","127,900,000","113,500,000",,,,,"3,050,200,000","2,232,600,000"
		HeldToMaturitySecurities,"155,749,000,000","168,552,000,000","0","0","134,706,000,000","144,009,000,000","120,926,000,000","75,203,000,000","50,007,000,000","34,389,000,000","30,318,000,000","18,194,000,000","15,108,000,000","17,762,000,000","6,839,000,000","243,000,000",,,,,,,,,,,,,,,,,,,
		OtherShortTermInvestments,"105,913,000,000","147,830,000,000","390,054,000,000","337,400,000,000","61,422,000,000","66,578,000,000","49,995,000,000","77,365,000,000","65,646,000,000","54,783,000,000","51,618,000,000","46,123,000,000","33,965,000,000",,,,,,,,,,,,,,,,,,,,,,
	NetLoan,"40,439,000,000","40,505,000,000","34,636,000,000","23,813,000,000","18,212,000,000","16,609,000,000","16,478,000,000","15,403,000,000","14,334,000,000","13,399,000,000","12,419,000,000","10,726,000,000","9,882,000,000","8,910,000,000","7,452,000,000","6,085,000,000","3,487,000,000","2,364,000,000","1,963,000,000","6,842,000,000","5,765,000,000","4,555,000,000","4,046,000,000","3,147,000,000","2,689,000,000",,,,,,,,,,
		GrossLoan,"40,477,000,000","40,578,000,000","34,654,000,000","23,843,000,000","18,230,000,000","16,630,000,000","16,504,000,000","15,429,000,000","14,365,000,000","13,441,000,000","12,467,000,000","10,782,000,000","9,936,000,000","8,963,000,000","7,497,000,000","6,105,000,000","3,494,000,000","2,368,000,000","1,966,000,000","6,869,000,000","5,765,000,000","4,555,000,000","4,046,000,000","3,147,000,000","2,689,000,000",,,,,,,,,,
