Date,Open,High,Low,Close,Adj Close,Volume
1999-05-04,76.000000,77.250000,70.000000,70.375000,49.936546,22320900
1999-05-05,69.875000,69.875000,66.250000,69.125000,49.049595,7565700
1999-05-06,68.000000,69.375000,67.062500,67.937500,48.206932,2905700
1999-05-07,67.937500,74.875000,66.750000,74.125000,52.597473,4862300
1999-05-10,73.375000,73.500000,70.250000,70.687500,50.158287,2589400
1999-05-11,70.000000,71.187500,69.500000,70.625000,50.113934,1839800
1999-05-12,71.000000,74.875000,69.125000,73.500000,52.153961,2659300
1999-05-13,73.250000,75.250000,72.500000,73.187500,51.932228,1142900
1999-05-14,71.250000,72.250000,69.062500,70.187500,49.803482,2058400
1999-05-17,69.125000,70.250000,68.000000,68.625000,48.694763,2075000
1999-05-18,68.250000,70.437500,68.125000,68.625000,48.694763,1407100
1999-05-19,69.375000,69.812500,68.750000,69.312500,49.182621,727400
1999-05-20,69.562500,70.125000,68.375000,68.375000,48.517387,520800
1999-05-21,68.125000,68.812500,67.500000,67.500000,47.896519,936200
1999-05-24,67.000000,67.250000,65.000000,65.312500,46.344299,1493000
1999-05-25,64.125000,65.937500,64.000000,64.500000,45.767784,1662400
1999-05-26,65.625000,66.625000,63.062500,66.062500,46.876484,1602900
1999-05-27,65.000000,67.750000,64.687500,67.750000,48.073898,1220500
1999-05-28,67.750000,68.812500,67.000000,67.937500,48.206932,901900
1999-06-01,66.625000,66.625000,63.562500,64.187500,45.546024,953900
1999-06-02,63.750000,64.062500,62.000000,63.250000,44.880791,2204300
1999-06-03,64.000000,64.187500,63.125000,63.625000,45.146889,852600
1999-06-04,64.312500,67.000000,64.312500,65.375000,46.388645,1357400
1999-06-07,65.187500,67.750000,65.187500,65.937500,46.787781,891900
1999-06-08,65.375000,65.687500,63.750000,63.750000,45.235592,571700
1999-06-09,64.250000,65.500000,63.625000,65.500000,46.477341,611400
1999-06-10,64.875000,64.937500,63.312500,63.375000,44.969501,664200
1999-06-11,63.937500,64.312500,62.312500,63.250000,44.880791,969300
1999-06-14,63.500000,64.000000,60.500000,61.250000,43.461651,821100
1999-06-15,62.875000,63.375000,62.250000,62.750000,44.526009,831700
1999-06-16,63.937500,65.437500,63.937500,65.250000,46.299934,690300
1999-06-17,64.500000,66.875000,64.500000,65.000000,46.122555,955700
1999-06-18,64.250000,64.875000,63.500000,64.812500,45.989513,613900
1999-06-21,66.687500,69.937500,66.562500,69.500000,49.315655,1811000
1999-06-22,70.125000,70.125000,67.750000,68.000000,48.251289,1165900
1999-06-23,67.062500,67.437500,64.875000,65.000000,46.122555,1351700
1999-06-24,66.062500,66.500000,64.500000,65.062500,46.166916,1408900
1999-06-25,65.500000,66.812500,65.375000,66.250000,47.009533,1111500
1999-06-28,66.437500,67.500000,65.750000,66.562500,47.231281,784600
1999-06-29,66.000000,68.500000,66.000000,67.750000,48.073898,629800
1999-06-30,68.500000,72.250000,66.125000,72.250000,51.267002,2127600
1999-07-01,71.375000,71.437500,69.750000,70.812500,50.246975,813600
1999-07-02,70.562500,71.187500,69.687500,70.937500,50.335670,536900
1999-07-06,70.000000,71.187500,69.250000,70.500000,50.025223,747600
1999-07-07,69.562500,70.000000,68.000000,68.000000,48.251289,648800
1999-07-08,68.000000,68.875000,67.187500,67.250000,47.719097,424400
1999-07-09,67.437500,68.187500,67.250000,67.250000,47.719097,312700
1999-07-12,68.000000,68.937500,67.875000,68.375000,48.517387,547700
1999-07-13,68.250000,68.687500,67.625000,67.875000,48.162601,969600
1999-07-14,67.375000,67.750000,67.312500,67.625000,47.985191,888200
1999-07-15,68.000000,68.000000,67.500000,67.937500,48.206932,864700
1999-07-16,67.750000,68.750000,67.750000,68.062500,48.295639,476700
1999-07-19,68.250000,70.750000,68.250000,69.437500,49.271309,646100
1999-07-20,69.125000,70.437500,67.875000,68.125000,48.340004,886100
1999-07-21,68.000000,68.062500,67.125000,67.875000,48.162601,626100
1999-07-22,68.125000,68.250000,66.500000,66.500000,47.186920,579500
1999-07-23,66.375000,66.375000,64.000000,64.062500,45.457333,767200
1999-07-26,64.250000,64.750000,63.187500,63.250000,44.880791,749500
1999-07-27,64.250000,65.750000,63.312500,65.500000,46.477341,592200
1999-07-28,65.250000,66.375000,64.000000,66.062500,46.876484,584800
1999-07-29,65.500000,65.500000,64.500000,65.000000,46.122555,646000
1999-07-30,65.000000,65.000000,63.625000,64.312500,45.634720,629600
1999-08-02,64.250000,64.562500,62.375000,62.812500,44.570343,566400
1999-08-03,62.812500,62.812500,60.750000,60.812500,43.151203,837700
1999-08-04,60.562500,61.500000,60.000000,60.000000,42.574696,1281600
1999-08-05,59.812500,60.000000,57.812500,59.250000,42.042465,1539900
1999-08-06,58.937500,58.937500,56.000000,56.250000,39.913738,1308500
1999-08-09,56.500000,57.500000,55.812500,55.812500,39.603302,1347500
1999-08-10,56.250000,57.187500,55.187500,57.000000,40.533073,1817400
1999-08-11,57.875000,61.562500,57.437500,61.500000,43.733055,1369200
1999-08-12,61.437500,62.187500,60.562500,60.687500,43.155281,832800
1999-08-13,62.437500,63.250000,62.062500,63.125000,44.888611,557400
1999-08-16,63.000000,63.000000,60.875000,62.875000,44.710831,762600
1999-08-17,63.250000,64.500000,62.625000,63.000000,44.799713,936900
1999-08-18,63.000000,63.000000,61.062500,62.312500,44.310841,819300
1999-08-19,61.625000,62.500000,60.812500,61.562500,43.777512,624600
1999-08-20,61.812500,62.937500,61.625000,62.312500,44.310841,439600
1999-08-23,62.812500,63.812500,62.625000,63.625000,45.244167,837200
1999-08-24,63.562500,65.000000,62.812500,63.437500,45.110847,894200
1999-08-25,63.125000,64.312500,62.312500,64.000000,45.510822,449900
1999-08-26,64.000000,64.875000,62.750000,62.750000,44.621944,378400
1999-08-27,63.000000,63.000000,61.500000,61.562500,43.777512,265300
1999-08-30,61.750000,61.750000,59.312500,59.312500,42.177513,438100
1999-08-31,59.500000,60.500000,58.687500,59.812500,42.533058,496600
1999-09-01,60.562500,60.687500,59.812500,60.312500,42.888645,560100
1999-09-02,59.500000,60.437500,58.875000,59.250000,42.133057,727600
1999-09-03,60.750000,63.125000,60.750000,63.125000,44.888611,754900
1999-09-07,63.000000,64.437500,62.437500,62.500000,44.444172,813600
1999-09-08,62.437500,63.625000,62.125000,62.562500,44.488609,732100
1999-09-09,62.500000,62.562500,61.000000,61.750000,43.910847,448800
1999-09-10,62.375000,63.093750,61.625000,63.093750,44.866379,636300
1999-09-13,62.187500,62.812500,62.000000,62.125000,44.177509,250700
