name,01/31/2024,01/31/2023,01/31/2022,01/31/2021,01/31/2020,01/31/2019,01/31/2018,01/31/2017,01/31/2016,01/31/2015,01/31/2014,01/31/2013,01/31/2012,01/31/2011,01/31/2010,01/31/2009,01/31/2008,01/31/2007,01/31/2006,01/31/2005,01/31/2004,01/31/2003,01/31/2002,01/31/2001,01/31/2000,01/31/1999,01/31/1998,01/31/1997,01/31/1996,01/31/1995,01/31/1994,01/31/1993,01/31/1992,01/31/1991,01/31/1990,01/31/1989,01/31/1988,01/31/1987,01/31/1986
TotalAssets,"76,530,000,000","76,445,000,000","71,876,000,000","70,581,000,000","51,236,000,000","44,003,000,000","44,529,000,000","42,966,000,000","41,973,000,000","39,946,000,000","40,518,000,000","41,084,000,000","40,518,000,000","40,125,000,000","40,877,000,000","41,164,000,000","44,324,000,000","52,263,000,000","44,405,000,000","38,907,000,000","34,437,000,000","30,011,000,000","26,394,000,000","21,385,000,000","17,081,000,000","13,465,000,000","11,229,000,000","9,341,700,000","7,354,000,000","5,778,000,000","4,700,900,000","3,931,800,000","2,510,300,000","1,639,500,000","1,117,500,000","699,200,000","528,300,000","394,700,000","380,200,000"
	CurrentAssets,"29,775,000,000","32,471,000,000","29,055,000,000","28,477,000,000","19,810,000,000","18,529,000,000","18,933,000,000","17,724,000,000","16,484,000,000","15,302,000,000","15,279,000,000","15,372,000,000","14,520,000,000","13,479,000,000","13,900,000,000","13,362,000,000","14,674,000,000","18,000,000,000","15,269,000,000","14,190,000,000","13,328,000,000","11,917,000,000","10,361,000,000","7,777,000,000","6,390,000,000","4,933,000,000","4,460,000,000","3,709,400,000","2,672,000,000","2,133,000,000","1,966,600,000","1,562,000,000","1,158,200,000","713,600,000","566,200,000","336,900,000","257,300,000","197,900,000","190,100,000"
		CashCashEquivalentsAndShortTermInvestments,"3,760,000,000","2,757,000,000","2,343,000,000","7,895,000,000","2,133,000,000","1,778,000,000","3,595,000,000","2,538,000,000","2,216,000,000","1,723,000,000","1,929,000,000","2,494,000,000","1,987,000,000","545,000,000","1,421,000,000","525,000,000","457,000,000","614,000,000","807,000,000","2,165,000,000","2,852,000,000","2,253,000,000","2,546,000,000","177,000,000","170,000,000","62,000,000","172,000,000","146,000,000","53,300,000","1,200,000","100,000,000","121,700,000","218,500,000","107,900,000","69,500,000","15,900,000","25,600,000","17,100,000","9,700,000"
			CashAndCashEquivalents,"3,760,000,000","2,757,000,000","2,343,000,000","7,895,000,000","2,133,000,000","1,778,000,000","3,595,000,000","2,538,000,000","2,216,000,000","1,723,000,000","1,929,000,000","2,494,000,000","1,987,000,000","545,000,000","1,421,000,000","519,000,000","445,000,000","600,000,000","793,000,000","506,000,000","1,103,000,000","2,188,000,000","2,477,000,000","167,000,000","168,000,000","62,000,000","172,000,000","146,000,000","53,300,000","1,200,000","100,000,000","121,700,000","218,500,000","107,900,000","69,500,000","15,900,000","25,600,000","17,100,000","9,700,000"
			OtherShortTermInvestments,,,,,,,,,,,,,,,"6,000,000","6,000,000","12,000,000","14,000,000","14,000,000","1,659,000,000","1,749,000,000","65,000,000","69,000,000","10,000,000","2,000,000",,,,,,,,,,,,,,
		Receivables,"3,328,000,000","3,317,000,000","3,426,000,000","2,992,000,000","2,106,000,000","1,936,000,000","1,952,000,000","2,029,000,000","1,890,000,000","1,484,000,000","1,398,000,000","1,395,000,000","1,245,000,000","1,085,000,000","964,000,000","972,000,000","1,259,000,000","3,223,000,000","2,396,000,000","1,499,000,000","1,097,000,000","1,072,000,000","920,000,000","835,000,000","587,000,000","469,000,000","556,000,000","388,400,000","325,400,000","272,200,000","198,400,000","470,000,000","256,100,000","49,300,000","38,900,000","17,600,000","15,200,000","9,900,000","21,500,000"
			AccountsReceivable,"2,753,000,000","2,822,000,000","2,901,000,000","2,550,000,000","1,738,000,000","1,640,000,000","1,604,000,000","1,570,000,000","1,890,000,000","1,484,000,000","1,398,000,000","1,395,000,000","1,245,000,000",,,,"1,259,000,000","3,223,000,000","2,396,000,000","1,499,000,000","1,097,000,000","1,072,000,000","920,000,000","835,000,000","587,000,000","469,000,000",,,,,,,,,,,,,
			OtherReceivables,"575,000,000","495,000,000","525,000,000","442,000,000","368,000,000","296,000,000","348,000,000","459,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Inventory,"20,976,000,000","24,886,000,000","22,068,000,000","16,627,000,000","14,531,000,000","13,925,000,000","12,748,000,000","12,549,000,000","11,809,000,000","11,079,000,000","11,057,000,000","10,710,000,000","10,325,000,000","10,625,000,000","10,188,000,000","10,673,000,000","11,731,000,000","12,822,000,000","11,401,000,000","10,076,000,000","9,076,000,000","8,338,000,000","6,725,000,000","6,556,000,000","5,489,000,000","4,293,000,000","3,602,000,000","2,708,300,000","2,180,300,000","1,749,300,000","1,293,500,000","939,800,000","662,300,000","509,000,000","381,500,000","294,300,000","211,400,000","167,100,000","152,700,000"
			FinishedGoods,"20,976,000,000","24,886,000,000","22,068,000,000","16,627,000,000","14,531,000,000","13,925,000,000","12,748,000,000","12,549,000,000","11,809,000,000","11,079,000,000","11,057,000,000","10,710,000,000","10,325,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherCurrentAssets,"1,711,000,000","1,511,000,000","1,218,000,000","963,000,000","1,040,000,000","890,000,000","638,000,000","608,000,000","569,000,000","1,016,000,000","895,000,000","773,000,000","963,000,000","1,224,000,000","1,327,000,000","1,192,000,000","1,227,000,000","1,341,000,000","665,000,000","450,000,000","303,000,000","254,000,000","170,000,000","209,000,000","144,000,000","109,000,000","130,000,000","466,700,000","113,000,000","110,300,000","374,700,000","30,500,000","21,300,000","47,400,000","76,300,000","9,100,000","5,100,000","3,800,000","6,200,000"
	TotalNonCurrentAssets,"46,755,000,000","43,974,000,000","42,821,000,000","42,104,000,000","31,426,000,000","25,474,000,000","25,596,000,000","25,242,000,000","25,489,000,000","24,644,000,000","25,239,000,000","25,712,000,000","25,998,000,000","26,646,000,000","26,977,000,000","27,802,000,000","29,650,000,000","34,263,000,000","29,136,000,000","24,717,000,000","21,109,000,000","18,094,000,000","16,033,000,000","13,608,000,000","10,691,000,000","8,532,000,000","6,769,000,000","5,632,300,000","4,682,000,000","3,645,000,000","2,734,300,000","2,369,800,000","1,352,100,000","925,900,000","551,300,000","362,300,000","271,000,000","196,800,000","190,100,000"
		NetPPE,"34,038,000,000","32,572,000,000","31,167,000,000","30,667,000,000","28,365,000,000","22,375,000,000","22,075,000,000","21,914,000,000","22,191,000,000","22,720,000,000","23,348,000,000","24,069,000,000","24,448,000,000","25,060,000,000","25,550,000,000","26,234,000,000","27,476,000,000","26,605,000,000","24,901,000,000","22,726,000,000","20,063,000,000","17,168,000,000","15,375,000,000","13,068,000,000","10,227,000,000","8,160,000,000","6,509,000,000","5,437,000,000","4,461,000,000","3,397,200,000","2,370,900,000","1,608,000,000","1,254,800,000","878,700,000","514,400,000","332,400,000","244,500,000","169,000,000","160,800,000"
			GrossPPE,"61,141,000,000","59,216,000,000","57,297,000,000","54,763,000,000","50,455,000,000","42,939,000,000","41,414,000,000","40,426,000,000","39,266,000,000","38,513,000,000","39,064,000,000","38,491,000,000","38,975,000,000","38,385,000,000","37,345,000,000","36,477,000,000","36,412,000,000","34,358,000,000","31,530,000,000","28,437,000,000","24,594,000,000","20,733,000,000","18,129,000,000","15,232,000,000","11,890,000,000","9,422,000,000","7,487,000,000","6,149,800,000","4,968,900,000","3,747,200,000","2,618,400,000","1,791,800,000","1,383,400,000","963,600,000","568,700,000","367,800,000","267,200,000","183,900,000","168,600,000"
				Properties,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,,,,,,,
				LandAndImprovements,"9,027,000,000","8,719,000,000","8,617,000,000","8,543,000,000","8,390,000,000","8,363,000,000","8,352,000,000","8,207,000,000","8,149,000,000","8,243,000,000","8,375,000,000","8,485,000,000","8,480,000,000","8,497,000,000","8,451,000,000","8,301,000,000","8,398,000,000","8,355,000,000","7,924,000,000","6,932,000,000","6,397,000,000","5,560,000,000","4,972,000,000","4,230,000,000",,,,,,,,,,,,,,,
				BuildingsAndImprovements,"20,030,000,000","19,430,000,000","19,173,000,000","18,838,000,000","18,432,000,000","18,199,000,000","18,073,000,000","17,772,000,000","17,667,000,000","17,759,000,000","17,950,000,000","17,981,000,000","17,737,000,000","17,606,000,000","17,391,000,000","16,961,000,000","16,642,000,000","16,606,000,000","15,263,000,000","13,516,000,000","11,862,000,000","10,069,000,000","8,448,000,000","6,832,000,000",,,,,,,,,,,,,,,
				MachineryFurnitureEquipment,"16,667,000,000","16,564,000,000","16,441,000,000","15,119,000,000","13,666,000,000","12,460,000,000","11,506,000,000","11,020,000,000","10,279,000,000","9,602,000,000","10,107,000,000","9,338,000,000","10,040,000,000","9,687,000,000","9,091,000,000","8,741,000,000","8,050,000,000","7,799,000,000","7,073,000,000","6,195,000,000","5,163,000,000","4,074,000,000","3,403,000,000","2,877,000,000",,,,,,,,,,,,,,,
				OtherProperties,"11,971,000,000","11,076,000,000","9,911,000,000","9,270,000,000","7,173,000,000","1,392,000,000","1,308,000,000","1,169,000,000","1,020,000,000","905,000,000","696,000,000","658,000,000","588,000,000",,,,"497,000,000","475,000,000","427,000,000","390,000,000","352,000,000","306,000,000","257,000,000","261,000,000",,,,,,,,,,,,,,,
				ConstructionInProgress,"1,192,000,000","1,297,000,000","1,139,000,000","1,068,000,000","1,005,000,000","820,000,000","538,000,000","739,000,000","670,000,000","585,000,000","548,000,000","647,000,000","758,000,000","654,000,000","525,000,000","625,000,000","1,435,000,000","1,123,000,000","843,000,000","1,404,000,000","820,000,000","724,000,000","1,049,000,000","1,032,000,000",,,,,,,,,,,,,,,
				Leases,"2,254,000,000","2,130,000,000","2,016,000,000","1,925,000,000","1,789,000,000","1,705,000,000","1,637,000,000","1,519,000,000","1,481,000,000","1,419,000,000","1,388,000,000","1,382,000,000","1,372,000,000","1,941,000,000","1,887,000,000","1,849,000,000","1,887,000,000",,,,,,,,,,,,,,,,,,,,,,
			AccumulatedDepreciation,"-27,103,000,000","-26,644,000,000","-26,130,000,000","-24,096,000,000","-22,090,000,000","-20,564,000,000","-19,339,000,000","-18,512,000,000","-17,075,000,000","-15,793,000,000","-15,716,000,000","-14,422,000,000","-14,527,000,000","-13,325,000,000","-11,795,000,000","-10,243,000,000","-8,936,000,000","-7,753,000,000","-6,629,000,000","-5,711,000,000","-4,531,000,000","-3,565,000,000","-2,754,000,000","-2,164,000,000","-1,663,000,000","-1,262,000,000","-978,000,000","-712,800,000","-507,900,000","-350,000,000","-247,500,000","-183,800,000","-128,600,000","-84,900,000","-54,300,000","-35,400,000","-22,700,000","-14,900,000","-7,800,000"
		GoodwillAndOtherIntangibleAssets,"8,455,000,000","7,444,000,000","7,449,000,000","7,126,000,000","2,254,000,000","2,252,000,000","2,275,000,000","2,093,000,000","2,102,000,000","1,353,000,000","1,289,000,000","1,170,000,000","1,120,000,000","1,187,000,000","1,171,000,000","1,134,000,000","1,209,000,000","6,314,000,000","3,286,000,000","1,394,000,000","833,000,000","575,000,000","419,000,000","314,000,000","311,000,000","268,000,000","140,000,000","86,500,000","87,200,000","88,500,000","19,500,000","20,100,000","20,800,000","21,400,000","22,000,000","22,700,000","23,300,000","23,900,000","24,600,000"
			Goodwill,"8,455,000,000","7,444,000,000","7,449,000,000","7,126,000,000","2,254,000,000","2,252,000,000","2,275,000,000","2,093,000,000","2,102,000,000","1,353,000,000","1,289,000,000","1,170,000,000","1,120,000,000","1,187,000,000","1,171,000,000","1,134,000,000","1,209,000,000","6,314,000,000","3,286,000,000","1,394,000,000","833,000,000","575,000,000","419,000,000","314,000,000",,,,,,,,,,,,,,,
			OtherIntangibleAssets,"3,606,000,000","3,323,000,000","3,503,000,000","3,612,000,000",,,,,,,,,,,,,,,,,,,,,"311,000,000","268,000,000","140,000,000","86,500,000","87,200,000","88,500,000","19,500,000","20,100,000","20,800,000","21,400,000","22,000,000","22,700,000","23,300,000","23,900,000","24,600,000"
		FinancialAssets,,,"58,000,000","172,000,000","120,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		NonCurrentNoteReceivables,,,,,,,,,,,,"140,000,000","135,000,000","139,000,000","33,000,000","36,000,000","342,000,000",,,,,,,,,,,,,,,,,,,,,,
		NonCurrentDeferredAssets,,,"344,000,000","305,000,000","139,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			NonCurrentDeferredTaxesAssets,,,"344,000,000","305,000,000","139,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherNonCurrentAssets,"4,262,000,000","3,958,000,000","4,205,000,000","4,311,000,000","807,000,000","847,000,000","1,246,000,000","1,235,000,000","1,196,000,000","571,000,000","602,000,000","473,000,000","295,000,000","260,000,000","223,000,000","398,000,000","623,000,000","1,344,000,000","949,000,000","597,000,000","213,000,000","351,000,000","239,000,000","226,000,000","153,000,000","104,000,000","120,000,000","108,800,000","133,800,000","159,300,000","343,900,000","741,700,000","76,500,000","25,800,000","14,900,000","7,200,000","3,200,000","3,900,000","4,700,000"
TotalLiabilitiesNetMinorityInterest,"75,486,000,000","74,883,000,000","73,572,000,000","67,282,000,000","54,352,000,000","45,881,000,000","43,075,000,000","38,633,000,000","35,657,000,000","30,624,000,000","27,996,000,000","23,307,000,000","22,620,000,000","21,236,000,000","21,484,000,000","23,387,000,000","26,610,000,000","27,233,000,000","17,496,000,000","14,749,000,000","12,030,000,000","10,209,000,000","8,312,000,000","6,370,000,000","4,730,000,000","4,716,000,000","4,015,000,000","3,288,700,000","2,289,600,000","2,284,800,000","1,886,800,000","1,627,700,000","819,100,000","956,100,000","605,400,000","316,300,000","207,700,000","231,700,000","291,100,000"
	CurrentLiabilities,"22,015,000,000","23,110,000,000","28,693,000,000","23,166,000,000","18,375,000,000","16,716,000,000","16,194,000,000","14,133,000,000","12,524,000,000","11,269,000,000","10,749,000,000","11,462,000,000","9,376,000,000","10,122,000,000","10,363,000,000","11,153,000,000","12,706,000,000","12,931,000,000","12,706,000,000","10,529,000,000","9,554,000,000","8,035,000,000","6,501,000,000","4,385,000,000","3,656,000,000","2,857,000,000","2,456,000,000","1,842,100,000","1,416,500,000","1,214,200,000","972,600,000","754,900,000","534,300,000","412,700,000","292,300,000","194,100,000","146,700,000","106,800,000","83,600,000"
