name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
TotalAssets,"56,146,800,000","50,435,600,000","53,854,300,000","52,626,800,000","47,510,800,000","32,811,200,000","33,803,700,000","31,023,900,000","37,938,700,000","34,227,400,000","36,626,300,000","35,386,500,000","32,989,900,000","31,975,200,000","30,224,900,000","28,461,500,000","29,391,700,000","28,974,500,000","29,988,800,000","27,837,500,000","25,838,000,000","23,970,500,000","22,534,500,000","21,683,500,000","20,983,200,000","19,784,400,000","18,241,500,000","17,386,000,000","15,414,600,000","13,591,900,000","12,035,200,000","11,681,200,000","11,349,100,000","10,667,500,000","9,175,000,000","8,158,700,000","6,981,600,000","5,968,500,000","5,043,100,000"
	CurrentAssets,"7,986,400,000","5,424,200,000","7,148,500,000","6,243,200,000","3,557,900,000","4,053,200,000","5,327,200,000","4,848,600,000","9,643,000,000","4,185,500,000","5,050,100,000","4,922,100,000","4,403,000,000","4,368,500,000","3,416,300,000","3,517,600,000","3,581,900,000","5,192,200,000","6,219,000,000","2,857,800,000","1,885,400,000","1,715,400,000","1,819,300,000","1,662,400,000","1,572,300,000","1,309,400,000","1,142,300,000","1,102,500,000","955,800,000","740,700,000","662,800,000","864,700,000","646,000,000","549,000,000","495,000,000","516,400,000","483,600,000","472,600,000","369,400,000"
		CashCashEquivalentsAndShortTermInvestments,"4,579,300,000","2,583,800,000","4,709,200,000","3,449,100,000","898,500,000","866,000,000","2,463,800,000","1,223,400,000","7,685,500,000","2,077,900,000","2,798,700,000","2,336,100,000","2,335,700,000","2,387,000,000","1,796,000,000","2,063,400,000","1,981,300,000","2,128,100,000","4,260,600,000","1,379,800,000","492,800,000","330,400,000","418,100,000","421,700,000","419,500,000","299,200,000","341,400,000","329,900,000","334,800,000","179,900,000","185,800,000","436,500,000","220,200,000","142,800,000","137,000,000","184,400,000","183,200,000","205,100,000","155,400,000"
			CashAndCashEquivalents,"4,579,300,000","2,583,800,000","4,709,200,000","3,449,100,000","898,500,000","866,000,000","2,463,800,000","1,223,400,000","7,685,500,000","2,077,900,000","2,798,700,000","2,336,100,000","2,335,700,000","2,387,000,000","1,796,000,000","2,063,400,000","1,981,300,000","2,128,100,000","4,260,600,000","1,379,800,000","492,800,000","330,400,000","418,100,000","421,700,000","419,500,000","299,200,000","341,400,000","329,900,000","334,800,000","179,900,000","185,800,000","436,500,000","220,200,000","142,800,000","137,000,000","184,400,000","183,200,000","205,100,000","155,400,000"
		Receivables,"2,488,000,000","2,115,000,000","1,872,400,000","2,110,300,000","2,224,200,000","2,441,500,000","1,976,200,000","1,474,100,000","1,298,700,000","1,214,400,000","1,319,800,000","1,375,300,000","1,334,700,000","1,179,100,000","1,060,400,000","931,200,000","1,053,800,000","806,900,000","793,900,000","745,500,000","734,500,000","855,300,000","881,900,000","796,500,000","708,100,000","609,400,000","483,500,000","495,400,000","413,600,000","379,300,000","314,600,000","279,600,000","274,400,000","255,000,000","234,000,000","204,000,000","184,000,000","158,400,000","125,500,000"
			AccountsReceivable,"2,488,000,000","2,115,000,000","1,872,400,000","2,110,300,000","2,224,200,000","2,441,500,000","1,976,200,000","1,474,100,000","1,298,700,000","1,214,400,000","1,319,800,000","1,375,300,000","1,334,700,000",,,,"1,053,800,000","806,900,000","793,900,000","745,500,000","734,500,000","855,300,000","881,900,000","796,500,000","708,100,000","609,400,000",,,,,,,,,,,,,
		Inventory,"52,800,000","52,000,000","55,600,000","51,100,000","50,200,000","51,100,000","58,800,000","58,900,000","100,100,000","110,000,000","123,700,000","121,700,000","116,800,000","109,900,000","106,200,000","111,500,000","125,300,000","112,400,000","144,300,000","147,500,000","129,400,000","111,700,000","105,500,000","99,300,000","82,700,000","77,300,000","70,500,000","69,600,000","58,000,000","50,500,000","43,500,000","43,500,000","42,600,000","42,900,000","46,000,000","48,500,000","48,500,000","38,100,000","31,700,000"
		PrepaidAssets,,,"511,300,000","632,700,000","385,000,000","694,600,000","828,400,000","565,200,000","558,700,000","783,200,000","807,900,000","1,089,000,000","615,800,000","692,500,000","453,700,000","411,500,000","421,500,000","318,600,000","640,200,000","585,000,000","528,700,000","418,000,000","413,800,000",,,,,,,,,,,,,,,,
		AssetsHeldForSaleCurrent,,,,,,,"0","1,527,000,000","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherCurrentAssets,"866,300,000","673,400,000","511,300,000","632,700,000","385,000,000","694,600,000","828,400,000","565,200,000","558,700,000","783,200,000","807,900,000","1,089,000,000","615,800,000",,,,,"1,826,200,000","380,000,000",,,,,"344,900,000","362,000,000","323,500,000","246,900,000","207,600,000","149,400,000","131,000,000","118,900,000","105,100,000","108,800,000","108,300,000","78,000,000","79,500,000","67,900,000","71,000,000","56,800,000"
	TotalNonCurrentAssets,"48,160,400,000","45,011,400,000","46,705,800,000","46,383,600,000","43,952,900,000","28,758,000,000","28,476,500,000","26,175,300,000","28,295,700,000","30,041,900,000","31,576,200,000","30,464,400,000","28,586,900,000","27,606,700,000","26,808,600,000","24,943,900,000","25,809,800,000","23,782,300,000","23,769,800,000","24,979,700,000","23,952,600,000","22,255,100,000","20,715,200,000","20,021,100,000","19,410,900,000","18,475,000,000","17,099,200,000","16,283,500,000","14,458,800,000","12,851,200,000","11,372,400,000","10,816,500,000","10,703,100,000","10,118,500,000","8,680,000,000","7,642,300,000","6,498,000,000","5,495,900,000","4,673,700,000"
		NetPPE,"38,422,000,000","36,339,300,000","38,272,600,000","38,785,900,000","37,421,200,000","22,842,700,000","22,448,300,000","21,257,600,000","23,117,600,000","24,557,500,000","25,747,300,000","24,677,200,000","22,834,500,000","22,060,600,000","21,531,500,000","20,254,500,000","20,984,700,000","19,438,100,000","19,573,300,000","20,703,100,000","19,924,700,000","18,583,400,000","17,289,500,000","17,047,600,000","16,324,500,000","16,041,600,000","14,961,400,000","14,352,100,000","12,811,300,000","11,328,400,000","10,081,400,000","9,597,400,000","9,558,500,000","9,047,100,000","7,758,000,000","6,800,300,000","5,819,600,000","4,877,600,000","4,164,200,000"
			GrossPPE,"57,084,400,000","53,603,300,000","55,468,600,000","55,304,200,000","52,312,100,000","37,193,600,000","36,626,400,000","34,443,400,000","37,692,400,000","39,126,100,000","40,355,600,000","38,491,100,000","35,737,600,000","34,482,400,000","33,440,500,000","31,152,400,000","32,203,700,000","29,722,900,000","29,482,500,000","30,507,800,000","28,740,200,000","26,218,600,000","24,106,000,000","23,569,000,000","22,450,800,000","21,758,000,000","20,088,200,000","19,133,900,000","17,137,600,000","15,184,600,000","13,459,000,000","12,658,000,000","12,368,000,000","11,535,500,000","9,874,000,000","8,647,800,000","7,393,000,000","6,179,200,000","5,250,600,000"
				Properties,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0",,,,,,,,,,,,,,,,
				LandAndImprovements,"7,081,300,000","6,686,300,000","6,487,600,000","6,349,100,000","6,026,400,000","5,521,400,000","5,662,200,000","5,465,000,000","5,582,500,000","5,788,400,000","5,849,300,000","5,612,600,000","5,328,300,000","5,200,500,000","5,048,300,000","4,689,600,000","4,836,600,000","4,722,700,000","4,480,600,000","4,661,100,000","4,483,000,000",,"3,975,600,000",,,,,,,,,,,,,,,,
				BuildingsAndImprovements,"33,381,600,000","31,426,200,000","31,949,300,000","31,583,400,000","29,609,600,000","28,241,000,000","27,286,100,000","25,207,100,000","26,904,600,000","27,606,400,000","28,540,800,000","27,059,800,000","25,101,700,000","24,131,400,000","23,466,900,000","21,740,900,000","22,269,200,000","21,681,900,000","20,027,400,000","20,781,000,000","19,485,500,000",,"16,147,200,000",,,,,,,,,,,,,,,,
				MachineryFurnitureEquipment,,"2,498,600,000","3,032,000,000","3,119,000,000","2,994,500,000","2,942,600,000","3,165,700,000","3,270,900,000","4,658,500,000","5,113,800,000","5,376,800,000","5,241,000,000","4,757,200,000","4,608,500,000","4,422,900,000","4,205,100,000","4,558,200,000","4,839,900,000","4,398,100,000","4,426,100,000","4,090,500,000",,"3,371,700,000",,,,,,,,,,,,,,,,
				OtherProperties,"16,621,500,000","15,490,800,000","17,031,700,000","17,371,700,000","16,676,100,000","3,431,200,000","3,678,100,000","3,771,300,000","5,205,300,000","5,731,300,000","5,965,500,000","5,818,700,000","5,307,600,000","542,000,000","502,400,000","516,800,000","539,700,000","565,700,000","576,400,000","639,600,000","681,200,000",,"611,500,000",,,,,,,,,,,,,,,,
			AccumulatedDepreciation,"-18,662,400,000","-17,264,000,000","-17,196,000,000","-16,518,300,000","-14,890,900,000","-14,350,900,000","-14,178,100,000","-13,185,800,000","-14,574,800,000","-14,568,600,000","-14,608,300,000","-13,813,900,000","-12,903,100,000","-12,421,800,000","-11,909,000,000","-10,897,900,000","-11,219,000,000","-10,284,800,000","-9,909,200,000","-9,804,700,000","-8,815,500,000","-7,635,200,000","-6,816,500,000","-6,521,400,000","-6,126,300,000","-5,716,400,000","-5,126,800,000","-4,781,800,000","-4,326,300,000","-3,856,200,000","-3,377,600,000","-3,060,600,000","-2,809,500,000","-2,488,400,000","-2,116,000,000","-1,847,500,000","-1,573,400,000","-1,301,600,000","-1,086,400,000"
		GoodwillAndOtherIntangibleAssets,"3,040,400,000","2,900,400,000","2,782,500,000","2,773,100,000","2,677,400,000","2,331,500,000","2,379,700,000","2,336,500,000","2,516,300,000","2,735,300,000","2,872,700,000","2,804,000,000","2,653,200,000","2,586,100,000","2,425,200,000","2,237,400,000","2,301,300,000","2,073,600,000","1,924,400,000","1,828,300,000","1,665,100,000","1,559,800,000","1,419,800,000","1,443,400,000","1,261,800,000",,"827,500,000","747,000,000","534,800,000","483,100,000","415,700,000","389,700,000","369,100,000","384,000,000","326,000,000","314,800,000","261,700,000","232,000,000","166,400,000"
			Goodwill,"3,040,400,000","2,900,400,000","2,782,500,000","2,773,100,000","2,677,400,000","2,331,500,000","2,379,700,000","2,336,500,000","2,516,300,000","2,735,300,000","2,872,700,000","2,804,000,000","2,653,200,000","2,586,100,000","2,425,200,000","2,237,400,000","2,301,300,000","2,073,600,000","1,924,400,000","1,828,300,000",,,,,,,,,,,,,,,,,,,
			OtherIntangibleAssets,,,,,,,,,,,,,,,,,,,,"1,828,300,000","1,665,100,000","1,559,800,000","1,419,800,000","1,443,400,000","1,261,800,000",,"827,500,000","747,000,000","534,800,000","483,100,000","415,700,000","389,700,000","369,100,000","384,000,000","326,000,000","314,800,000","261,700,000","232,000,000","166,400,000"
		InvestmentsAndAdvances,"1,080,200,000","1,064,500,000","1,201,200,000","1,297,200,000","1,270,300,000","1,202,800,000","1,085,700,000","725,900,000","792,700,000","1,004,500,000","1,209,100,000","1,380,500,000","1,427,000,000","1,335,300,000","1,212,700,000","1,222,300,000","1,156,400,000",,,,,,,,,,,,,,,,,,,,,,
			LongTermEquityInvestment,"1,080,200,000","1,064,500,000","1,201,200,000","1,297,200,000","1,270,300,000","1,202,800,000","1,085,700,000","725,900,000","792,700,000","1,004,500,000","1,209,100,000","1,380,500,000","1,427,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,
				InvestmentsinAssociatesatCost,,"1,064,500,000","1,201,200,000","1,297,200,000","1,270,300,000","1,202,800,000","1,085,700,000","725,900,000","792,700,000","1,004,500,000","1,209,100,000","1,380,500,000","1,427,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherNonCurrentAssets,"5,617,800,000","4,707,200,000","4,449,500,000","3,527,400,000","2,584,000,000","2,381,000,000","2,562,800,000","1,855,300,000","1,869,100,000","1,744,600,000","1,747,100,000","1,602,700,000","1,672,200,000","1,624,700,000","1,639,200,000","1,229,700,000","1,367,400,000","2,270,600,000","2,272,100,000","2,448,300,000","2,362,800,000","2,111,900,000","2,005,900,000","1,530,100,000","1,824,600,000","2,433,400,000","2,137,800,000","1,184,400,000","1,112,700,000","1,039,700,000","875,300,000","829,400,000","775,500,000","687,400,000","596,000,000","527,200,000","416,700,000","386,300,000","343,100,000"
TotalLiabilitiesNetMinorityInterest,"60,853,500,000","56,439,000,000","58,455,300,000","60,451,700,000","55,721,100,000","39,069,600,000","37,071,700,000","33,228,200,000","30,850,800,000","21,374,000,000","20,616,600,000","20,092,900,000","18,599,700,000","17,341,000,000","16,191,000,000","15,078,900,000","14,111,900,000","13,516,200,000","14,842,700,000","13,636,000,000","13,856,100,000","13,689,600,000","13,046,100,000","12,479,100,000","11,344,100,000","10,319,700,000","9,389,900,000","8,667,800,000","6,888,600,000","6,283,700,000","5,426,700,000","5,788,800,000","6,514,000,000","6,485,200,000","5,625,000,000","4,745,900,000","4,064,900,000","3,520,400,000","2,856,600,000"
	CurrentLiabilities,"6,859,000,000","3,802,100,000","4,020,000,000","6,181,200,000","3,621,000,000","2,973,500,000","2,890,600,000","3,468,300,000","2,950,400,000","2,747,900,000","3,170,000,000","3,403,100,000","3,509,200,000","2,924,700,000","2,988,700,000","2,537,900,000","4,498,500,000","2,951,600,000","4,107,700,000","3,520,500,000","2,748,500,000","2,422,300,000","2,248,300,000","2,360,900,000","3,274,300,000","2,497,100,000","2,984,500,000","2,135,300,000","1,794,900,000","2,451,300,000","1,102,000,000","1,544,600,000","1,287,900,000","1,198,700,000","1,017,000,000","1,003,600,000","856,200,000","799,300,000","663,400,000"
