name,06/30/2024,06/30/2023,06/30/2022,04/30/2021,04/30/2020,04/30/2019,04/30/2018,04/30/2017,04/30/2016,04/30/2015,04/30/2014,04/30/2013,04/30/2012,04/30/2011,04/30/2010,04/30/2009,04/30/2008,04/30/2007,04/30/2006,04/30/2005,04/30/2004,04/30/2003,04/30/2002,04/30/2001,04/30/2000,04/30/1999,04/30/1998,04/30/1997,04/30/1996,04/30/1995,04/30/1994,04/30/1993,04/30/1992,04/30/1991,04/30/1990,04/30/1989,04/30/1988,04/30/1987,04/30/1986
TotalAssets,"3,218,810,000","3,072,258,000","3,269,158,000","3,653,646,000","5,112,047,000","3,299,945,000","3,140,949,000","2,694,108,000","2,847,225,000","4,515,420,000","4,693,529,000","4,537,779,000","4,649,567,000","5,207,961,000","5,234,318,000","5,359,722,000","5,623,425,000","7,544,050,000","5,989,135,000","5,538,056,000","5,380,026,000","4,767,308,000","4,230,791,000","4,113,705,000","5,712,869,000","1,910,176,000","2,904,083,000","1,707,058,000","1,755,891,000","1,078,038,000","1,074,700,000","1,005,800,000","962,700,000","1,035,800,000","941,500,000","826,400,000","676,500,000","628,700,000","481,600,000"
	CurrentAssets,"1,239,476,000","1,187,486,000","1,384,458,000","1,699,724,000","3,086,736,000","1,993,359,000","1,891,713,000","1,346,039,000","1,220,601,000","2,951,301,000","3,114,006,000","2,462,343,000","2,500,994,000","2,477,731,000","2,649,036,000","2,571,080,000","2,614,487,000","4,176,784,000","2,788,436,000","3,070,634,000","2,961,299,000","2,625,231,000","2,245,143,000","2,263,287,000","3,880,112,000","1,087,422,000","2,143,277,000","1,480,090,000","1,122,258,000","635,508,000","699,800,000","589,900,000","568,000,000","648,000,000","642,200,000","595,500,000","440,100,000","414,100,000","288,900,000"
		CashCashEquivalentsAndShortTermInvestments,"1,053,326,000","986,975,000","885,015,000","934,251,000","2,661,914,000","1,572,150,000","1,544,944,000","1,011,331,000","896,801,000","2,446,815,000","2,608,802,000","1,747,584,000","1,944,334,000","1,677,844,000","1,804,045,000","1,654,663,000","664,897,000","921,838,000","1,059,266,000","1,100,213,000","1,071,676,000","875,353,000","464,515,000","242,040,000","442,270,000","250,121,000","1,247,014,000","518,834,000","728,612,000","353,487,000","41,300,000","43,400,000","13,500,000","36,700,000","43,200,000","34,800,000","210,900,000","210,200,000","155,900,000"
			CashAndCashEquivalents,"1,053,326,000","986,975,000","885,015,000","934,251,000","2,661,914,000","1,572,150,000","1,544,944,000","1,011,331,000","896,801,000","2,007,190,000","2,185,307,000","1,747,584,000","1,944,334,000","1,677,844,000","1,804,045,000","1,654,663,000","664,897,000","921,838,000","1,059,266,000","1,100,213,000","1,071,676,000","875,353,000","436,145,000","187,616,000","379,901,000","193,240,000","900,856,000","457,079,000","685,660,000","90,248,000","41,300,000","43,400,000","13,500,000","36,700,000","43,200,000","34,800,000","210,900,000","210,200,000","155,900,000"
			OtherShortTermInvestments,,,,,,,,,"1,133,000","439,625,000","423,495,000","0",,,,,,,,,,"23,859,000","28,370,000","54,424,000","62,369,000","56,881,000","346,158,000","61,755,000","42,952,000","263,239,000",,,,,,,,,
		Receivables,"51,208,000","49,153,000","254,594,000","522,032,000","151,673,000","130,419,000","131,132,000","146,573,000","128,024,000","146,056,000","171,041,000","183,617,000","170,141,000","492,290,000","517,986,000","512,814,000","534,229,000","966,777,000","971,873,000","1,009,014,000","972,986,000","920,234,000","1,212,883,000","1,676,108,000","3,292,101,000","743,301,000","793,237,000","407,441,000","333,734,000","260,198,000","165,900,000","228,700,000","271,900,000","392,400,000","369,000,000","315,800,000","208,400,000","187,900,000","116,200,000"
			AccountsReceivable,,"5,066,000","7,674,000","20,959,000","17,202,000","34,284,000","16,008,000","57,965,000","89,990,000","99,750,000","104,409,000","107,736,000","104,913,000","281,847,000","326,681,000",,"991,770,000","966,777,000","971,873,000","590,226,000","625,076,000","517,037,000","1,212,883,000","1,676,108,000","3,292,101,000","743,301,000","793,237,000","407,441,000","333,734,000","260,198,000","165,900,000",,,,,,,,
			LoansReceivable,"5,917,000","6,344,000","6,194,000","16,666,000","25,397,000","22,427,000","30,596,000","39,911,000","50,000,000","56,603,000","63,716,000","65,413,000","61,252,000","62,181,000","55,047,000",,,,,,,,,,,,,,,,,,,,,,,,
			TaxesReceivable,"18,440,000","11,061,000","221,731,000","425,897,000","75,507,000","34,284,000","41,572,000","0",,,,,"42,934,000","41,342,000","66,894,000",,,,,,,,,,,,,,,,,,,,,,,,
			OtherReceivables,"26,851,000","31,748,000","26,669,000","79,469,000","50,769,000","73,708,000","58,964,000","48,697,000","45,045,000","44,230,000","55,494,000","60,867,000","48,565,000","174,386,000","181,839,000",,,,"503,188,000","418,788,000","347,910,000","403,197,000",,,,,,,,,,,,,,,,,
