name,10/31/2023,10/31/2022,10/31/2021,10/31/2020,10/31/2019,10/31/2018,10/31/2017,10/31/2016,10/31/2015,10/31/2014,10/31/2013,10/31/2012,10/31/2011,10/31/2010,10/31/2009,10/31/2008,10/31/2007
TotalAssets,"72,861,000,000","73,249,000,000","75,570,000,000","75,933,000,000","67,493,000,000","50,124,000,000","54,418,000,000","49,966,000,000","10,515,000,000","10,491,000,000","3,415,000,000","2,862,000,000","2,446,000,000","2,157,000,000","1,970,000,000","1,871,000,000","1,951,000,000"
	CurrentAssets,"20,847,000,000","18,504,000,000","16,586,000,000","11,895,000,000","9,917,000,000","9,107,000,000","15,823,000,000","7,125,000,000","3,759,000,000","3,835,000,000","1,818,000,000","1,691,000,000","1,393,000,000","1,087,000,000","864,000,000","619,000,000","717,000,000"
		CashCashEquivalentsAndShortTermInvestments,"14,189,000,000","12,416,000,000","12,163,000,000","7,618,000,000","5,055,000,000","4,292,000,000","11,204,000,000","3,097,000,000","1,822,000,000","1,604,000,000","985,000,000","1,084,000,000","829,000,000","561,000,000","472,000,000","213,000,000","309,000,000"
			CashAndCashEquivalents,"14,189,000,000","12,416,000,000","12,163,000,000","7,618,000,000","5,055,000,000","4,292,000,000","11,204,000,000","3,097,000,000","1,822,000,000","1,604,000,000","985,000,000","1,084,000,000","829,000,000","561,000,000","472,000,000","213,000,000","309,000,000"
			OtherShortTermInvestments,,,,,,,,,,,"14,000,000","0",,,,,
		Receivables,"3,154,000,000","2,958,000,000","2,071,000,000","2,297,000,000","3,259,000,000","3,325,000,000","2,603,000,000","2,181,000,000","1,019,000,000","782,000,000","418,000,000","359,000,000","328,000,000","285,000,000","186,000,000","184,000,000","218,000,000"
			AccountsReceivable,"3,154,000,000","2,958,000,000","2,071,000,000","2,297,000,000","3,259,000,000","3,325,000,000","2,448,000,000","2,181,000,000","1,019,000,000","782,000,000","418,000,000","341,000,000","328,000,000","285,000,000","186,000,000","184,000,000","218,000,000"
				GrossAccountsReceivable,,,"4,668,000,000","2,471,000,000","5,556,000,000","3,486,000,000",,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,,,"-2,597,000,000","-174,000,000","-2,297,000,000","-161,000,000",,,,,,,,,,,
			TaxesReceivable,,,,,,,,,,,"4,000,000","3,000,000",,,,,
			OtherReceivables,,,,,,"65,000,000","155,000,000",,,,"15,000,000","15,000,000",,,,,
		Inventory,"1,898,000,000","1,925,000,000","1,297,000,000","1,003,000,000","874,000,000","1,124,000,000","1,447,000,000","1,400,000,000","524,000,000","519,000,000","285,000,000","194,000,000","194,000,000","189,000,000","162,000,000","188,000,000","140,000,000"
			RawMaterials,"321,000,000","179,000,000","194,000,000","122,000,000","121,000,000","136,000,000","189,000,000","373,000,000","76,000,000","84,000,000","78,000,000","53,000,000","40,000,000","32,000,000","22,000,000","21,000,000",
			WorkInProcess,"901,000,000","966,000,000","680,000,000","558,000,000","414,000,000","505,000,000","696,000,000","596,000,000","271,000,000","250,000,000","154,000,000","99,000,000","106,000,000","96,000,000","70,000,000","87,000,000",
			FinishedGoods,"676,000,000","780,000,000","423,000,000","323,000,000","339,000,000","483,000,000","562,000,000","431,000,000","177,000,000","185,000,000","53,000,000","42,000,000","48,000,000","61,000,000","70,000,000","80,000,000",
		PrepaidAssets,"743,000,000","864,000,000","539,000,000","387,000,000","302,000,000","243,000,000","440,000,000",,,,"48,000,000","24,000,000",,,,,
		CurrentDeferredAssets,,,,,,,,,,,"41,000,000","22,000,000",,,,,
			CurrentDeferredTaxesAssets,,,,,,,,,,,"32,000,000","14,000,000",,,,,
		AssetsHeldForSaleCurrent,,,,,,,,,"22,000,000","628,000,000","0",,,,,,
		OtherCurrentAssets,"863,000,000","341,000,000","516,000,000","590,000,000","427,000,000","123,000,000","129,000,000","447,000,000","394,000,000","302,000,000","130,000,000","8,000,000","42,000,000","52,000,000","44,000,000","34,000,000","50,000,000"
	TotalNonCurrentAssets,"52,014,000,000","54,745,000,000","58,984,000,000","64,038,000,000","57,576,000,000","41,017,000,000","38,595,000,000","42,841,000,000","6,756,000,000","6,656,000,000","1,597,000,000","1,171,000,000","1,053,000,000","1,070,000,000","1,106,000,000","1,252,000,000","1,234,000,000"
		NetPPE,"2,154,000,000","2,223,000,000","2,348,000,000","2,509,000,000","2,565,000,000","2,635,000,000","2,599,000,000","2,509,000,000","1,460,000,000","1,158,000,000","661,000,000","503,000,000","316,000,000","281,000,000","264,000,000","299,000,000","292,000,000"
			GrossPPE,"6,178,000,000","5,827,000,000","5,544,000,000","5,331,000,000","4,896,000,000","4,529,000,000","4,092,000,000","3,638,000,000","2,236,000,000","1,851,000,000","1,232,000,000","988,000,000","737,000,000","640,000,000","558,000,000","515,000,000",
				Properties,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
				LandAndImprovements,"195,000,000","195,000,000","195,000,000","194,000,000","189,000,000","189,000,000","177,000,000","268,000,000","37,000,000","37,000,000","12,000,000","11,000,000","11,000,000","11,000,000","11,000,000","11,000,000",
				BuildingsAndImprovements,"1,181,000,000","1,156,000,000","1,150,000,000","1,133,000,000","1,078,000,000","1,016,000,000","579,000,000","534,000,000","419,000,000","300,000,000","182,000,000","158,000,000","133,000,000","130,000,000","128,000,000","129,000,000",
				MachineryFurnitureEquipment,"4,739,000,000","4,413,000,000","4,161,000,000","3,891,000,000","3,544,000,000","3,257,000,000","2,925,000,000","2,475,000,000","1,627,000,000","1,316,000,000","955,000,000","692,000,000","563,000,000","499,000,000","419,000,000","375,000,000",
				ConstructionInProgress,"63,000,000","63,000,000","38,000,000","113,000,000","85,000,000","67,000,000","411,000,000","361,000,000","153,000,000","198,000,000","83,000,000","127,000,000","30,000,000",,,,
			AccumulatedDepreciation,"-4,024,000,000","-3,604,000,000","-3,196,000,000","-2,822,000,000","-2,331,000,000","-1,894,000,000","-1,493,000,000","-1,129,000,000","-776,000,000","-693,000,000","-571,000,000","-485,000,000","-421,000,000","-359,000,000","-294,000,000","-216,000,000",
		GoodwillAndOtherIntangibleAssets,"47,520,000,000","50,725,000,000","54,824,000,000","60,229,000,000","54,268,000,000","37,675,000,000","35,538,000,000","39,800,000,000","4,951,000,000","5,213,000,000","883,000,000","602,000,000","676,000,000","745,000,000","818,000,000","890,000,000","899,000,000"
			Goodwill,"43,653,000,000","43,614,000,000","43,450,000,000","43,447,000,000","36,714,000,000","26,913,000,000","24,706,000,000","24,732,000,000","1,674,000,000","1,596,000,000","391,000,000","180,000,000","177,000,000","172,000,000","171,000,000","169,000,000","122,000,000"
